y,x0,x1,x2,x3,x4
-0.57081,1,0.17866,0.11737,-0.31206,-0.42739
-0.55659,1,0.073893,-0.0097053,0.23849,-0.71238
-0.54237,1,-0.19324,0.35819,-0.02984,-0.50518
-0.56727,1,-0.050229,-0.030252,-0.069394,-0.2842
-0.55305,1,-0.15448,-0.23574,-0.1303,0.052306
-0.53883,1,-0.012458,0.060004,-0.17315,-0.30516
-0.56373,1,0.12271,0.15154,-0.031716,-0.64685
-0.56019,1,-0.21057,-0.13885,0.34271,-0.39518
-0.54597,1,-0.34414,-0.67965,-0.5258,0.9892
-0.53175,1,0.086207,-0.17976,-0.10978,-0.25461
-0.51753,1,0.017449,-0.035465,-0.12453,-0.29262
-0.52821,1,0.033905,-0.092515,-0.34404,-0.058439
-0.51399,1,-0.23763,-0.42144,0.07352,0.11981
-0.49977,1,0.095849,-0.31924,-0.055233,-0.19269
-0.48555,1,0.070495,-0.69055,0.0035763,0.094226
-0.47134,1,0.32059,-0.10753,-0.05519,-0.60309
-0.45712,1,0.21433,-0.09217,0.0054471,-0.5619
-0.3718,1,-0.41834,0.21501,-0.046959,-0.12354
-0.49623,1,-0.43989,0.14625,0.0086073,-0.090329
-0.48201,1,0.40629,-0.0060348,0.046066,-0.86581
-0.4678,1,0.10541,0.43466,-0.26548,-0.64626
-0.45358,1,0.09214,0.17297,0.13001,-0.77049
-0.43936,1,-0.44197,0.17849,0.18631,-0.27697
-0.42514,1,-0.21298,0.17887,0.55981,-0.85224
-0.41092,1,0.05995,0.46015,0.10354,-0.9564
-0.3967,1,-0.25009,0.45437,0.24778,-0.76369
-0.38248,1,0.4807,-0.26816,0.39583,-1.0383
-0.36826,1,0.35645,0.17329,-0.048425,-0.88048
-0.43582,1,0.37138,-0.16478,-0.31325,-0.36568
-0.4216,1,-0.37478,-0.061357,0.082166,-0.04509
-0.40738,1,-0.27494,-0.069148,-0.11284,0.036027
-0.39316,1,0.022316,0.081331,0.25954,-0.73548
-0.37894,1,0.24921,-0.26947,-0.021509,-0.41653
-0.36472,1,-0.0027168,-0.14981,0.077597,-0.34875
-0.3505,1,-0.10747,0.21709,-0.059139,-0.4273
-0.33628,1,0.0050365,0.31352,0.14958,-0.81431
-0.32206,1,0.25919,0.24785,0.22547,-1.0891
-0.36118,1,-0.20341,-0.34309,-0.33112,0.39603
-0.34696,1,0.13095,0.014353,-0.0058795,-0.54599
-0.33274,1,-0.10618,0.19202,-0.091399,-0.37475
